,catalyst,catalyst_substrate,SA_element,SA_valence,co_elements,oxidant,pollutants,pollutant_constant,dose_catalyst,dose_oxidant,pH,catalyst_cycles,pilot_pollutant,pilot_time,ORS,EPR_signals,quencher,DOI
0,3D Fe-600-800,3D macroporous carbon,Fe,III,"N, O",O2,18.3 mmol (benzylamine),,30 mg,,,10,,,"1O2, OH, OOH","TEMP-1O2, DMPO-OH, DMPO-OOH",,10.1021/acs.chemmater.3c03099
1,AD-Fe/3DPC,defective three-dimensional porous carbon,Fe,II-III,"C, Cl",O2,30 mg/L (sulfamethoxazole),6.12 h-1 (sulfamethoxazole),,,6,10,,,OH,DMPO-OH,"complete inhibition (1,10-phenanthroline), significant inhibition (tert-butyl alcohol)",10.1021/acs.est.0c03614
2,FeSA-N-CNT,carbon nanotube (CNT),Fe,II,N,PMS,"50 μM (BPA), 50 μM (BA), 50 μM (CBZ), 50 μM (SMX), 50 μM (BPF)",256 μmol s-1 g-1 (BPA),20 mg/L,0.40 mM,3,4,,,"FeN4=O, SO4·−, HO·",,"slight inhibition (TBA), slight inhibition (MeOH), significant inhibition (PMSO)",10.1021/acs.est.0c08805
3,FeCuSA-NPC,N-doped porous carbon,"Fe, Cu","0 to +2 (Fe), +2 (Cu)",N,O2,20 mg/L (4-chlorophenol),3.5 h-1 (4-chlorophenol),10 mg in 3 mL solution coated on 6 cm2 carbon paper,,5,5,,,OH,DMPO-OH,"significant inhibition (tert-butanol), negligible effect (benzoquinone)",10.1021/acs.est.1c04943
4,FeNx-C-600,nitrogen-doped carbon,Fe,"II, III",N,PMS,20 mg/L (BPA),0.357 min-1 (BPA),0.2 g/L,0.50 mM,6.5,5,20 mg/L (BPA),,"SO4·−, ·OH, Fe(V)=O","DMPO-OH, DMPO-SO4","slight inhibition (methanol), insignificant inhibition (tert-butyl alcohol), significant inhibition (oxalate)",10.1021/acs.est.1c05980
5,Fe-N-O-GC-350,nitrogen- and oxygen-co-doped graphitic carbon,Fe,II,"N, O",PMS,0.04 mM (sulfamethoxazole),0.24 min-1 (sulfamethoxazole),0.1 g/L,0.4 mM,3.4,5,,,"surface-bound reactive species, singlet oxygen","DMPO-OH, DMPO-SO4","slight inhibition (furfural alcohol), no inhibition (benzoquinone), slight promotion (superoxide dismutase), 95.8% removal efficiency (tertiary butanol), 97.3% removal efficiency (ethanol)",10.1021/acs.est.1c06205
6,Co1-GO,graphene oxide (GO),Co,2,O,PMS,"50 mg/L (1,4-dioxane)","1.208 s-1 (1,4-dioxane)",0.625 mg per PES membrane,"1 mM, 3 mM",3.5,,,48 h,"SO4-, OH","DMPO•−OH, DMPO•−SO4−","40.4% (10 mM ethanol), 19.9% (30 mM ethanol)",10.1021/acs.est.1c06371
7,Zn4Co1C,N-doped carbon,Co,III,N,PMS,"20 mg/L (phenol), 20 mg/L (benzoic acid)",2.32 min-1 (phenol),0.1 g/L,0.2 g/L,,3,,,1O2,TEMP-1O2,"79% inhibition (NaN3), slight inhibition (methanol)",10.1021/acs.est.2c00706
8,Fe5-NC,carbon skeleton,Fe,III,N,O3,"100 mg/L (oxalic acid), 50 mg/L (p-hydroxybenzoic acid)","0.040 min-1 (oxalic acid), 0.082 min-1 (p-hydroxybenzoic acid)","0.05 g/L (oxalic acid), 0.20 g/L (p-hydroxybenzoic acid)","10 mg/L (oxalic acid), 4.5 mg/L (p-hydroxybenzoic acid)","3.3 (oxalic acid), 4.2 (p-hydroxybenzoic acid)",5,110 mg/L (COD),,"*Oad, 1O2","DMPO-O2•−, TEMP-1O2","significant inhibition (DMSO for oxalic acid), significant inhibition (TEMP for p-hydroxybenzoic acid)",10.1021/acs.est.2c07653
9,MnN5,g-C3N4,Mn,IV,N,PMS,10 mg/L (4-CP),0.022 min-1 g m-2 (4-CP),0.5 g/L,1.0 mM,6.7,6,,,Mn(IV)-oxo,,"negligible inhibition (MeOH), slight inhibition (FFA), minor inhibition (p-benzoquinone)",10.1021/acs.est.2c08836
10,FeCo-N/C,N-doped porous carbon matrix,Fe,III,"N, Co",peroxymonosulfate (PMS),20 mg/L (phenol),0.417 min-1 (phenol),0.2 g/L,0.4 g/L,7,5,,,high-valent FeIV−O−CoIV species,"DMPOX, TEMPO","significant inhibition (DMSO), negligible inhibition (MeOH, TBA, p-BQ), PMS consumption (FFA)",10.1021/acs.est.2c09336
11,Fe-Fe/SCN,sulfur-doped graphitic carbon nitride,Fe,II,"N, O",peroxymonosulfate (PMS),ca. 108 gene copies mL-1 (MHV-A59),0.267 min-1 (MHV-A59),1.0 g/L,"0.1 mM (phosphate buffer and freshwater), 0.2 mM (simulated saliva)",7,,,,catalyst-mediated electron transfer,"DMPOX, TEMPO",,10.1021/acs.est.3c00163
12,AgAC-NPC,nitrogen-doped porous carbon (NPC),Ag,,"N, O",peroxodisulfate (PDS),30 mg/L (SDZ),0.05 min-1 (SDZ),0.4 g/L,2 mmol/L,7.5,,1053 mg/L (COD),30 min,"1O2, O2•−","DMPO-O2, TEMP-1O2","82% (chloroform), slight inhibition (methanol, tert-butanol, furfuryl alcohol)",10.1021/acs.est.4c06064
13,Cusur-MgO,magnesium oxide (MgO),Cu,II,O,PMS,"0.2 mM (phenol), 0.05 mM (benzoic acid)","0.988 min-1 (phenol), 0.2 min-1 (benzoic acid)",0.2 g/L,0.3 g/L,6.5,10,Not explicitly mentioned,Not explicitly mentioned,"Cu(III)-OH, OH, SO4-",DMPOX,"no effect (methanol), no effect (TBA)",10.1021/acs.est.4c06608
14,SAFe-SBA,SBA-15,Fe,III,O,H2O2,"20 mg/L (HBA), 20 mg/L (phenol)","0.050 min-1 (HBA), 0.101 min-1 (HBA), 0.217 min-1 (HBA)",0.1 g/L,1000 ppm,3,3,,,OH,DMPO-OH,"slight inhibition (5 mM TBA), complete inhibition (10-50 mM TBA)",10.1021/acs.est.9b03342
15,CoTCN,hollow tubular carbon nitride,Co,II,"N, O",PMS,20 mg/L (tetracycline),0.322 min-1 (tetracycline),0.2 g/L,0.8 mM,7,5,20 mg/L (tetracycline),3 h,"OH, SO4-, 1O2","DMPO-OH, DMPO-SO4, TEMP-1O2","92% (L-histidine), 90% (p-BQ), 21% (TBA), 20% (MeOH)",10.1021/acs.inorgchem.4c03730
16,Co1N2,N-doped carbon (NC) film on TiO2,Co,,N,PMS,48 mg/L (RhB),0.862 min-1 (RhB),0.2 g/L,44 mg/L,8,5,48 mg/L (rhodamine B),10 min,1O2,"DMPOX, TEMP-1O2","complete inhibition (L-histidine, FFA), 37% reduction (MeOH), slight inhibition (TBA, CHCl3)",10.1021/acs.inorgchem.4c03766
17,Fe-N-CNT5,carbon nanotubes (CNTs),Fe,IV,N,"PMS, O3",2 mg/L (NAP),0.11 min-1 (NAP),0.1 g/L,"30 mg (PMS), 1.7 mL saturated ozone water (30 mg/L O3)",7,5,2 mg/L (NAP),30 h,"FeIV=O, 1O2","DMPOX, TEMP-1O2","complete quenching (FFA), significant suppression (DMSO)",10.1021/acsaenm.4c00713
18,Fc-Bz-POP,benzothiazole-linked Fe-metalated porous organic polymer,Fe,2,C,O2,0.5 mL (cyclohexene),,10 mg,,,7,,,OH,DMPO-OH,,10.1021/acsami.3c01393
19,Fe SACs-BC,cotton stalk-derived biochar,Fe,between Fe3+ and Fe2+,"N, O, C",PMS,"20 mg/L (AO7), 20 mg/L (RhB), 20 mg/L (MB), 20 mg/L (CVio), 100 mg/L (RB19), 20 mg/L (NYS)",1.5 min-1 (AO7),0.1 g/L,0.5 g/L,6.13,5,"200 mg/L (acid orange 7), real textile wastewater (TOC > 110 mg/L)",4 hours,"1O2, FeIV=O",TEMP-1O2,"73% inhibition (L-histidine), 28% inhibition (dimethyl sulfoxide), no inhibition (tert-butyl alcohol), no inhibition (ethanol), no inhibition (chloroform)",10.1021/acsami.3c12518
20,Co-N-CNTs,carbon nanotubes (CNTs),Co,,N,PMS,10 mg/L (sulfamethoxazole),8.80 × 10^-4 g m^-2 min^-1 (sulfamethoxazole),0.1 g/L,1.0 mM,6.8,,,,"PMS*, singlet oxygen",TEMP-1O2,"no inhibition (methanol), negligible effect (D2O)",10.1021/acscatal.1c02031
21,Fe1.0-CN-TA2.0,carbon-rich polymeric carbon nitride (CN) framework,Fe,II,N,PMS,"91.2 ppm (BPA), 0.3 mM (chlorophenol), 0.3 mM (2,4-dichlorophenol), 0.3 mM (sulfamethoxazole), 0.1 mM (terephthalic acid)",0.070 s-1 (BPA),0.16 g/L,1.0 mM,6.5,,22.8 ppm (BPA),124 h,Fe(IV)=O,DMPOX,"complete inhibition (10 mM NaSCN), no inhibition (500 mM methanol, 500 mM TBA)",10.1021/acscatal.2c04287
22,Co-CGBC,N/S-doped biochar of spent coffee grounds,Co,II,"N, S",PMS,"1.92 mg/L (PCB28), 29.8 mg/L (BPA), 31.3 mg/L (DEP)","0.0208 min-1 (PCB28), 0.0278 min-1 (PCB28)",1 g/L,2 mM,6,3,2 mg/L (PCB28),120 min,"SO4-, OH, 1O2",DMPOX,"30% (2 mM EtOH), 20% (10 mM EtOH), 40% (2 mM TBA), 10% (10 mM FFA), significant inhibition (20 mM NaI)",10.1021/acsestengg.1c00255
23,Fe1-M15,nitrogen-doped carbon,Fe,II,N,PMS,22 ppm (BPA),8.4 min-1 (BPA),100 mg/L,0.5 mM,6.5,,10 ppm (BPA),20 hours,1O2,DMPOX,"no inhibition (methanol), no inhibition (TBA), no inhibition (furfuryl alcohol), no inhibition (DMSO)",10.1021/acsestengg.2c00236
24,Cu-C3N4,C3N4,Cu,I,N,H2O2,10 mg/L (ciprofloxacin),0.0978 min-1 (ciprofloxacin),0.4 g/L,0.6 M,7,5,,,"O−Cu−N4, O−Cu−N4−O","DMPO-OH, DMPO-O2-","slight inhibition (tert-butanol), 85.7% (p-benzoquinone), 66% (L-Histidine), 50.2% (EDTA-2Na)",10.1021/acsestengg.2c00261
25,SPBC-700N,carbon matrix,Mn,2.51,N,PMS,25 mg/L (chloroquine phosphate),,1.0 g/L,2 mM,6.7,3,,,"OH, SO4-, 1O2","DMPOX, TEMP-1O2","significant inhibition (MeOH), significant inhibition (TBA), significant inhibition (FFA), significant inhibition (NaN3)",10.1021/acsestengg.2c00364
26,Co1N4+2C,nitrogen-doped carbon,Co,II,N,PDS,10 mg/L (BPA),0.876 min-1 (BPA),0.1 g/L,2 mM,6.7,10,10 mg/L (BPA),,"1O2, O2•−","DMPO-OH, DMPO-SO4","slight inhibition (MeOH), slight inhibition (TBA), 93.7% (p-BQ), 29.9% (FFA), 32.3% (L-histidine)",10.1021/acsestengg.3c00262
27,CuSACMem,anodic aluminum oxide (AAO) membrane,Cu,II,O,H2O2,20 μM (benzoic acid),0.024 s-1 (benzoic acid),,10 mM,4,,,,OH,DMPO-OH,significant inhibition (tert-butanol),10.1021/acsestengg.4c00843
28,Ni@NCNT-800-g,nitrogen-doped carbon nanotube,,,,PDS,50 ppm (CH3SH),,0.15 g/L,0.5 g/L,7,4,,180 min,"SO4-, OH, 1O2","DMPO-X, TEMP-1O2","significant inhibition (MeOH), 85% (FFA), no effect (p-BQ)",10.1021/acsestengg.4c00910
29,Fex-NC,nitrogen-doped carbon matrix,Fe,IV,N,PMS,100 μM (BPA),0.124 s-1 (BPA),0.16 g/L,0.4 mM,6.5,,100 μM (BPA),32 h,FeIV=O,"DMPOX, TEMPO","complete inhibition (SCN−), no effect (methanol), no effect (TBA), no effect (furfuryl alcohol)",10.1021/acsestwater.2c00468
30,CoNP@NC/Co-SA,nitrogen-doped carbon,Co,II,N,PMS,20 mg/L (phenol),,0.08 g/L,0.15 g/L,6.8,3,,,"PMS*, SO5-, singlet oxygen (1O2)",DMPOX,"slight inhibition (SOD), slight inhibition (β-carotene), no inhibition (TBA, MeOH, KI)",10.1021/acsestwater.3c00774
31,Co-P1N3@C,carbon-supported,Co,IV,"P, N",PMS,10 mg/L (BPA),0.146 s-1 (BPA),0.1 g/L,0.15 g/L,7,5,,,Co(IV)-Oxo,"DMPO-O2, DMPO-OH/SO4",93.3% inhibition (PMSO),10.1021/acsestwater.4c00175
32,I-FeNx/g-C3N4-5,graphitic carbon nitride (g-C3N4),Fe,II,N,H2O2,"200 mg/L (methylene blue), 200 mg/L (methyl orange), 200 mg/L (rhodamine B), 200 mg/L (phenol)",,0.5 g/L,77 mM,7,4,,,OH,DMPO-OH,,10.1021/acsnano.8b04693
33,SA-Cr/PN-g-C3N4,pyrrolic N-rich g-C3N4,Cr,II,N,H2O2,10 mg/L (bisphenol A),"0.034 min-1 (bisphenol A), 0.0963 min-1 (bisphenol A)",0.2 g/L,163 mmol/L,7,6,,,"OH, O2•−","DMPO-O2-, DMPO-OH","30.8% (TEOA), 43.5% (EDTA-2Na), 39.1% (BQ), 34.3% (IPA)",10.1002/adfm.202007877
34,Fe-NC-NaCl,microporous carbon-supported Fe SACs,Fe,II,N,O3,50 ppm (methyl mercaptan),,1.0 mg,,,100,50 ppm (CH3SH),100 h,"O, O2-, 1O2","DMPO-*O2-, TEMP-1O2",,10.1002/adfm.202314187
35,CoSAs-NCs/CN/TiO2-10,carbon film wrapping TiO2,Co,between 0 and +2,N,PMS,10 mg/L (norfloxacin),0.0472 min-1 (norfloxacin),0.3 g/L,0.6 g/L,7,4,,,"SO4-, OH, 1O2","DMPO-OH, DMPO-SO4","significant inhibition (tert-butanol), significant inhibition (ethanol), significant inhibition (L-histidine)",10.1002/adfm.202414036
36,Fe-NS2C,graphitized carbon layer with sulfur and nitrogen co-doping,Fe,II,"N, S",PMS,"HBA, phenol, CBZ, BPA",0.501 min-1 (HBA),,,,6,"MB, HBA, phenol, BPA",,1O2,"DMPO-SO4•−/•OH, TEMP-1O2","significant inhibition (TEMP), significant inhibition (L-histidine), slight inhibition (methanol), slight inhibition (tert-butanol)",10.1002/adfm.202417441
37,FeCN,g-C3N4 nanotubes,Fe,III,N,PAA,10 mg/L (BPA),1.95 min-1 (BPA),0.15 g/L,0.5 × 10−3 m,7,,,,"CH3COO•, CH3COOO•, Fe(V)=O",DMPOX,"61.6% (HXA), significant inhibition (oxalate)",10.1002/adma.202202891
38,Mo-RPCN-L2,red polymeric carbon nitrides (RPCN) with local carbonization regions,Mo,between Mo4+ and Mo6+,"O, N",H2O2,"30 mg/L (methylene blue), 30 mg/L (rhodamine B)",28.8 mmol min-1 g-1 (thioanisole),,,10,,30 mg L-1 (methylene blue),1 min,"O2-, CH3, OH, OOH","DMPO-Ox, DMPO-O2-","45% reduction (DMPO), slight inhibition (NBT), slight inhibition (BQ)",10.1002/adma.202208704
39,Pd2+@Tp-TAPT,Tp-TAPT,Pd,II,"N, O",O2,10 ppm (phenol),0.3 g/L (phenol),0.3 g/L,,acidic,10,,,"OH, O2-, 1O2, H2O2","DMPO-OH, DMPO-O2-","complete inhibition (BQ), significant inhibition (t-BuOH), significant inhibition (catalase), significant inhibition (β-carotene)",10.1002/adma.202306758
40,OCN Co/Fe,graphitic carbon nitride (g-C3N4) with oxygen doping and cyano functional groups,"Co, Fe","+2 (Co), +2 to +3 (Fe)","N, O",peroxymonosulfate,5 mg/L (ciprofloxacin),0.91 min-1 (ciprofloxacin),0.02 g/L,1 mM,6.5,5,5 mg/L (ciprofloxacin),24 h,"SO4-, OH, O2-, 1O2","DMPO–•OH, DMPO–SO4•−, DMPO–O2•−, TEMP–1O2",O2- > OH > 1O2 > SO4- (inhibition values for OCN-Co/Fe/PMS system),10.1002/adma.202404278
41,0.3Fe-BNC,nitrogen-doped carbon (NC),Fe,2.666666667,N,PMS,30 μm (SMX),1.2 min-1 (SMX),0.1 g/L,0.06 g/L,7,120,,10 h,1O2,TEMP-1O2,"significant inhibition (TEMP), slight inhibition (MeOH), slight inhibition (PMSO)",10.1002/adma.202405832
42,Co-SA,nitrogen-doped carbon,Co,II,N,PMS,20 mg/L (CIP),10.55 min-1 (CIP),0.2 g/L,0.3 g/L,7,6,,,1O2,"TMP-1O2, COH, SO4C-","significant inhibition (ethanol), significant inhibition (tert-butanol)",10.1002/anie.202014472
43,CoN1O2/Mn3O4,Mn3O4,Co,2.26,"N, O",PMS,2 ppm (sulfamethoxazole),highest kper-site value (sulfamethoxazole),0.2 g/L,0.2 mM,6,6,,,CoIV=O,DMPOX,"complete stagnation (DMSO), negligible inhibition (TBA), slight inhibition (methanol)",10.1002/anie.202303267
44,Run/NC-850,N-doped carbon,,,,PMS,10 mg/L (RhB),0.98 min-1 (RhB),0.02 g/L,1 mM,6.8,5,,,1O2,TEMP-1O2,"significant inhibition (L-histidine), effective inhibition (furfuryl alcohol), no impact (tert-butanol), no impact (methanol)",10.1002/anie.202401551
45,"{[Cu6(CN)6]·HPD}n, CP1",{[Cu6(CN)6]·HPD}n,,,,H2O2,3.4 × 10-4 M (meloxicam),"0.039 min-1 (meloxicam), 0.044 min-1 (meloxicam)",0.025 g in 50 mL,1 M,9.5,5,,,"OH, h+",,"37.39% (isopropyl alcohol), weak to moderate inhibition (benzoquinone, ammonium oxalate)",10.1002/aoc.7682
46,C@Co,"N,O-codoped porous carbon nanospheres",,,,PMS,50 mg/L (methylene blue),0.2034 min-1 (methylene blue),0.1 g/L,0.167 g/L,4月8日,1,,,"1O2, OH, SO4-, O2-","DMPO-OH, DMPO-SO4, DMPO-OOH, TEMPO","slight inhibition (tert-butanol), significant inhibition (methanol), significant inhibition (p-benzoquinone), significant inhibition (sodium azide), significant inhibition (L-histidine)",10.1039/d0cp00679c
47,UNCu-SBA,SBA-15,Cu,II,O,H2O2,20 mg/L (p-hydroxybenzoic acid),0.083 min-1 (p-hydroxybenzoic acid),0.2 g/L,1000 ppm,4.3,3,,,OH,DMPO-OH,significant inhibition (tert-butyl alcohol),10.1039/d0en00505c
48,Pt1Ag1/C,carbon black (Ketjen black 300J),Pt,,Ag,H2O2,"5 mg/L (microcystin-LR), 5 mg/L (microcystin-RR)","0.1195 min-1 (microcystin-LR), 0.0786 min-1 (microcystin-RR)",1 mg/cm2,,3,,,,OH,,,10.1039/d0ta01869d
49,Co-C3N5,C3N5,Co,II,N,PMS,0.5 mg/L (PCB28),0.1998 min-1 (PCB28),0.2 g/L,2.0 mM,7,4,,,"SO4-, OH",DMPO-OH,"80% (100 mM methanol), 20% (100 mM TBA)",10.1039/d2en00216g
50,Fe–NC HMCS,N-doped hollow mesoporous carbon spheres,Fe,between 0 and III,N,PMS,20 ppm (BPA),2.77 min-1 (BPA),50 mg/L,30 mg/L,5.3,5,20 ppm (BPA),130 h,"1O2, O2-",TEMP-1O2,"slight inhibition (EtOH), significant inhibition (TBA), 22% (p-BQ), 31% (FFA)",10.1039/d2ta03268f
51,SAFe/CNS,N-doped carbon nanosheets,Fe,between +3 and +2,N,PMS,50 mg/L (BPA),1.925 min-1 (BPA),2 mg/20 mL,30 μM,7,5,0.1 mg/L (BPA),3 min,"1O2, O2˙−","TEMP–1O2, DMPO–O2˙−","significant inhibition (p-BQ), significant inhibition (FFA), no inhibition (methanol)",10.1039/d3en00030c
52,CPFFeN4+4,fully p-conjugated polyphthalocyanine frameworks,Fe,"II, III",N,PMS,20 mM (BPA),1.87 min-1 (BPA),0.1 g/L,0.15 mM,4,5,20 mM (BPA),30 operational cycles,"1O2, O2-, OH, SO4-","DMPO–O2c−, DMPO–cOH, DMPO–SO4c−, TEMP–1O2","significant inhibition (p-BQ), slight inhibition (methanol, tert-butanol), strong inhibition (FFA, TEMP, L-histidine, NaN3)",10.1039/d4ta01195c
53,MnC3N4,holey graphitic carbon nitride (g-C3N4) nanosheets,Mn,II,N,H2O2,"10 mg/L (enrofloxacin), 10 mg/L (ciprofloxacin), 10 mg/L (tetracycline), 10 mg/L (4-chlorophenol), 10 mg/L (rhodamine B)","0.058 min-1 (enrofloxacin), 0.11 min-1 (enrofloxacin), 0.24 min-1 (enrofloxacin)",0.1 g/L,1 mM,7,3,,,cO2−,"DMPO-O2-, DMPO-OH",,10.1039/d4ta02186j
54,Cu@TpPa-(CH3)2,ketoenamine-based covalent organic frameworks (COFs),Cu,II,"N, O",PMS,10 mg/L (CBZ),0.322 min-1 (CBZ),0.2 g/L,1.0 mmol/L,7,5,,,"OH, SO4-",DMPO-OH,"61% (methanol), 62% (formic acid), 51% (tert-butanol), slight inhibition (benzoquinone)",10.1039/d4ta04418e
55,NiNC,N-doped nanoporous carbon,Ni,II,N,H2O2,"20 ppm (methylene blue), 20 ppm (methyl orange), 20 ppm (rhodamine B)","0.767 min-1 (methylene blue), 0.431 min-1 (methyl orange), 0.226 min-1 (rhodamine B)",0.2 g/L,10 ppm,7,5,20 ppm (methylene blue),6 hours,OH,DMPO-OH,rapid decrease to zero (DMPO),10.1039/d4ta05189k
56,Sc/g-C3N4/MoSe2 CSM_2,g-C3N4/MoSe2,Sc,III,"N, Se",H2O2,10 mg/L (TBBPA),0.255 min-1 (TBBPA),0.2 g/L,49 mmol/L,10,5,10 mg/L (TBBPA),,OH,,"notable suppression (tert-butyl alcohol), notable suppression (p-benzoquinone)",10.1039/d4ta05800c
57,Ag/mpg-C3N4,mesoporous graphitic carbon nitride (mpg-C3N4),Ag,0,"C, N",PMS,20 mg/L (bisphenol A),0.098 min-1 (bisphenol A),0.1 g/L,1 mM,3,4,,,"SO4-, O2-, hVB+",BMPOX,"significant inhibition (methanol), slight inhibition (tert-butyl alcohol), significant inhibition (EDTA-2Na), significant inhibition (p-benzoquinone)",10.1016/j.apcatb.2017.03.079
58,La1-xTixFeO3,LaFeO3,,,,H2O2,25 mg/L (4-chlorophenol),0.0145 min-1 (4-chlorophenol),0.5 g/L,125 mg/L,,5,,,"HOx° (HO°, HOO°)",,,10.1016/j.apcatb.2019.118310
59,,,,,,,,,,,,,,,,,,
60,FexMo1-xS2,two-dimensional MoS2 nanosheets,Fe,II,S,sulfite,10 μM (propranolol),0.108 min-1 (propranolol),0.1 g/L,1 mM,4,5,,,"SO5-, SO4-, SO3-",DMPO-SO3•−,"slight inhibition (tert-butanol), 73% (100 mM ethanol), significant inhibition (aniline)",10.1016/j.apcatb.2019.118459
61,Mn-ISAs@CN,N-doped porous carbon,Mn,II,N,PMS,20 mg/L (BPA),1.138 min-1 (BPA),0.2 g/L,0.2 g/L,6,4,,,"OH, SO4-","DMPO-OH, DMPO-SO4","significant inhibition (methanol), significant inhibition (tert-butanol)",10.1016/j.apcatb.2020.119363
62,SAFe-CN,g-C3N4,Fe,"II, III","N, O",PMS,10 mg/L (o-phenylphenol),"0.5213 min-1 (2,4,6-TCP), 0.0118 min-1 (o-phenylphenol), 0.0096 min-1 (phenol)",0.1 g/L,0.4 g/L,11,100,10 mg/L (o-phenylphenol),100 h,1O2,DMPOX,"negligible inhibition (ethanol), negligible inhibition (tert-butyl alcohol), significant inhibition (20 mM furfuryl alcohol), no effect (5 mM benzoquinone), no effect (2 mM K2Cr2O7)",10.1016/j.apcatb.2021.120714
63,BCN/CoN[2+2],B-doped-CN network (BCN),Co,II,N,PMS,"50 mg/L (tetracycline), 10 mg/L (chloramphenicol), 50 mg/L (rhodamine B), 50 mg/L (methyl orange), 50 mg/L (p-nitrophenol)","0.16 min-1 (tetracycline), 0.8 min-1 (rhodamine B), 0.8 min-1 (methyl orange), 0.053 min-1 (chloramphenicol), 0.04 min-1 (p-nitrophenol)",0.6 g/L,0.6 g/L,7,5,,,1O2,"DMPO-OH, DMPO-SO4","complete inhibition (sodium azide), no inhibition (tert-butanol), no inhibition (ethanol)",10.1016/j.apcatb.2021.120759
64,FeCN5,carbon nitride,Fe,II,N,H2O2,20 mg/L (methylene blue),59.43 mg/L min-1 (methylene blue),0.5 g/L,8.75 mM,7,3,"10 mg/L (methylene blue), 10 mg/L (methyl orange)",,OH,,"79.36% (methanol), 86.37% (tert-butanol), minor effect (furfuryl alcohol)",10.1016/j.apcatb.2021.121009
65,Fe-SA/PHCNS,porous hollow g-C3N4 spheres,Fe,IV,N,PMS,10 mg/L (ACE),0.364 s-1 g-2 (ACE),0.1 g/L,0.2 g/L,7,5,5 mg/L (ACE),36 h,"Fe(IV)=O, Fe(V)=O","BMPO-OH, BMPO-SO4, TEMP-1O2","slight inhibition (ethanol), slight inhibition (tert-butyl alcohol), significant inhibition (furfuryl alcohol)",10.1016/j.apcatb.2021.121049
66,,,,,,,,,,,,,,,,,,
