,catalyst,catalyst_substrate,SA_element,SA_valence,co_elements,oxidant,pollutants,pollutant_constant,dose_catalyst,dose_oxidant,pH,catalyst_cycles,pilot_pollutant,pilot_time,ORS,EPR_signals,quencher,DOI
67,FeCNW3,graphitic carbon nitride (CN),Fe,II/III,"C, N",PMS,"20 mg/L (ATZ), 20 mg/L (BPA)","0.0167 min-1 (ATZ), 2.52 min-1 (BPA)",20 mg/L,0.75 mM,3.2,12,20 mg/L (BPA),170 h,"1O2, SO4-, OH","DMPO-OH, DMPO-SO4, TEMP-1O2","significant inhibition (FFA), mild inhibition (TBA, MeOH), no inhibition (p-BQ)",10.1016/j.apcatb.2022.121536
68,Fe-SAC/NC,nitrogen-doped porous carbon matrix,Fe,II,N,H2O2,"0.14 mM (2,4-dichlorophenol)","0.05 min-1 (2,4-dichlorophenol)",0.10 g/L,,3,5,,90 min,OH,,,10.1016/j.apcatb.2022.122116
69,FeP/Fe1-GO,graphene oxide,Fe,III,O,H2O2,0.01 g/L (tetracycline),0.097 min-1 (tetracycline),0.15 g/L,0.1 M,7,100,,,"OH, O2•-","DMPO-HO, DMPO-O2",,10.1016/j.apcatb.2022.122243
70,Cu-SA/MXene,Ti3C2Tx MXene,Cu,I/II,O,PMS,10 mg/L (BPA),0.6117 min-1 (BPA),0.5 g/L,2 mM,7,5,"Actual wastewater (COD removal > 80%, TOC removal > 50%)",8 h,1O2,TEMP-1O2,"slight inhibition (TBA), slight inhibition (EtOH), negligible inhibition (SOD), significant inhibition (FFA), significant inhibition (L-histidine), significant inhibition (β-carotene)",10.1016/j.apcatb.2022.122245
71,Co-SA/CMN,uneven graphite carbon nitride nanosheet,Co,between 0 and +2,N,PMS,1 mg/L (E2),0.41 min-1 (E2),0.1 g/L,0.1 mM,7,5,2 mg/L (E2),48 h,"1O2, OH, SO4-",TEMP–1O2,"slight inhibition (EtOH), slight inhibition (TBA), significant inhibition (FFA), significant inhibition (NaN3), significant inhibition (KI)",10.1016/j.apcatb.2022.122248
72,CoSA-PMOF,porphyrin metal–organic framework,Co,II,N,PMS,10 µM (moxifloxacin),0.91 min-1 (moxifloxacin),0.1 g/L,0.5 mM,6.8,5,10 μM (moxifloxacin),3 days,"SO4-, OH, 1O2","DMPO-SO4, DMPO-OH, TEMP-1O2","slight inhibition (p-benzoquinone), 14.3% (furfuryl alcohol), 93.3% (tert-butanol), 84.4% (methanol)",10.1016/j.apcatb.2022.122344
73,CoN3,nitrogen-doped carbon matrix,Co,IV,N,PMS,45 μM (RhB),1.1 min-1 (RhB),0.1 g/L,0.8 mM,7,4,,,"OH, SO4-, high-valent Co species","DMPO-OH, DMPO-SO4","slight inhibition (methanol), significant inhibition (KI), slight inhibition (tert-butanol), significant inhibition (PMSO)",10.1016/j.apcatb.2023.122368
74,Co-SA,biochar with nitrogen doping,Co,between 0 and +2,N,PMS,50 mM (sulfadoxin),0.05 min-1 (sulfadoxin),100 mg/L,0.5 mM,7,4,,,Co=O,"DMPO-OH, DMPO-SO4, TEMP-1O2","almost eliminated (PMSO), slight inhibition (MeOH), slight inhibition (t-BA), significant inhibition (FFA)",10.1016/j.apcatb.2023.122483
75,MCNC,nitrogen-doped porous carbon polyhedral,"Mn, Co",,N,PMS,20 mg/L (BPA),0.31 min-1 (BPA),0.03 g/L,0.1 g/L,,3,10 ppm (RhB),300 min,1O2,TEMP-1O2,"obvious inhibition (L-histidine), negligible inhibition (methanol, tert-butanol, phenol), slight inhibition (N2 atmosphere), 30% inhibition (DMSO)",10.1016/j.apcatb.2023.122656
76,Fe-NC,N-doped carbon matrix,Fe,II,N,PMS,100 µM (BPA),0.29 min-1 (BPA),300 mg/L,1 mM,9.18,5,,,"1O2, high-valent iron species",TEMP-1O2,"dramatic inhibition (L-histidine), no significant inhibition (methanol), no significant inhibition (tert-butanol)",10.1016/j.apcatb.2023.123130
77,Fe-N @ MBC,Chlorella vulgaris-derived biochar,Fe,II,N,H2O2,20 μM (sulfamethoxazole),0.3102 min-1 (sulfamethoxazole),50 mg/L,0.3 mM,3.3,,,,"OH, O2-, 1O2","DMPO-OH, DMPO-O2-, TEMP-1O2","16.23% (tert-butanol), 5.77% (L-histidine), 15.01% (p-benzoquinone)",10.1016/j.apcatb.2023.123135
78,SA-Co-LDH,layered double hydroxide (LDH),Co,between +2 and +3,N,PMS,20 mg/L (meropenem),0.375 min-1 (meropenem),0.1 g/L,0.2 g/L,7,32,20 mg/L (meropenem),600 min,"OH, SO4-","DMPO-OH, DMPO-SO4","slight inhibition (tert-butyl alcohol), 89% (methanol), 80% (furfur alcohol), 18% (phenol)",10.1016/j.apcatb.2023.123218
79,CuSA-N-C,carbon nanosheets with ultrahigh loading of Cu-pyridinic N4 sites,Cu,II,N,PAA,10 μM (sulfamethoxazole),0.12–0.21 min−1 (sulfamethoxazole),0.2 g/L,0.52 mM,7,4,,,1O2,"DMPO-OH, DMPO-CH3, DMPO-CH3O2, DMPO-CH3CO2, DMPO-HO2/O2","significant inhibition (L-histidine, furfuryl alcohol), moderate inhibition (p-benzoquinone), slight inhibition (methanol)",10.1016/j.apcatb.2024.123897
80,Fe@N/C-S,nitrogen-doped carbon layers,,,,PMS,10 mg/L (sulfamethoxazole),0.326 min-1 (sulfamethoxazole),0.05 g/L,0.5 mM,7.4,3,,,"1O2, HV-Fe=O","DMPO-SO4 •−, DMPO-•OH, TEMP-1O2","16.1% (FFA), slight inhibition (tert-butanol), significant inhibition (p-BQ)",10.1016/j.apcatb.2024.124138
81,FeN2O2-HPC,hollow spherical porous carbon,Fe,II~III,"N, O",H2O2,20 mg/L (phenol),2.06 h-1 (phenol),5 mg,3 mM,7,10,"66.7 mg/L (TOC), 247.1 mg/L (COD)",4 hours,OH,DMPO-OH,"40% (tert-butyl alcohol), negligible inhibition (p-benzoquinone)",10.1016/j.apcatb.2024.124170
82,NiCo/GO aerogel,graphene aerogel,"Ni, Co",metallic,N,O2,2 mg/L (ibuprofen),0.07443 min-1 (ibuprofen),,,3.5,5,10 mg/L (ibuprofen),1 hour,"1O2, OH, O2-",DMPO-OH,"significant inhibition (MeOH), significant inhibition (p-BQ), significant inhibition (Trp)",10.1016/j.apcatb.2024.124286
83,Fe-N4C12,carbon black,Fe,II~III,N,PMS,"50 μM (AAP), 50 μM (TCP), 50 μM (4-CP), 50 μM (SMX), 50 μM (IBU), 50 μM (BPA), 50 μM (CBZ), 50 μM (ATZ)","0.0869 min-1 (BPA), 0.226 min-1 (BPA)",0.1 g/L,0.15 mM,4,4,,,"SO4-, HO, O2-, 1O2","DMPO-SO4, DMPO-OH, TEMPO","significant inhibition (TBA), significant inhibition (Meth), slight inhibition (argon aeration), significant inhibition (FFA), significant inhibition (L-his)",10.1016/j.apcatb.2024.124296
84,CoSA/MCSMx,2D mesoporous carbon sandwiched MXene (MCSMx) nanosheets,Co,II,N,PMS,20 mg/L (BPA),0.536 min-1 (BPA),0.1 g/L,0.2 g/L,3.5,2,,,None (electron transfer process),None,"no effect (MeOH), no effect (TBA), no effect (DMSO), no effect (L-histidine)",10.1016/j.apcatb.2024.124432
85,Fe-CNs,g-C3N4,Fe,II,N,PMS,0.04 mM (SMX),153.89×10−3 min−1 (SMX),0.1 g/L,0.1 mM,6.5,,,20 h,Fe(IV)=O,DMPO-OH,"32.9% reduction (NH4+), no significant change (TBA), significant reduction (DMSO)",10.1016/j.apcatb.2024.124471
86,SA-Co-C3N5,nitrogen-rich carbon nitride (C3N5),Co,between +2 and +3,N,H2O2,10 mg/L (metronidazole),0.054 min-1 (metronidazole),0.625 mg/cm2,,7,10,10 mg/L (metronidazole),72 h,"H*, OH","DMPO-H*, DMPO-•OH","slight inhibition (tert-butanol), significant inhibition (2,4-dichlorophenol)",10.1016/j.apcatb.2024.124663
87,Mn@TiO2,TiO2,Mn,V,,Permanganate (PM),20 μM (CIP),0.55 min-1 (CIP),0.4 g/L,50 μM,5,,,,"OH, O2-, 1O2, Mn(V)","DMPO-O2-, DMPO-OH, TEMPO","slight inhibition (Ba2+), significant inhibition (EDTA-2Na, p-BQ, FFA, TBA)",10.1016/j.apcatb.2024.124993
88,FeSA,N-doped carbon nanosheets,Fe,II,N,PMS,20 mg/L (PNP),0.302 min-1 (PNP),0.05 g/L,1 mM,6,3,,,"O2•−, 1O2","DMPO-O2•−, TEMP-1O2","significant inhibition (p-BQ), significant inhibition (L-histidine), negligible influence (MeOH), negligible influence (TBA)",10.1016/j.apsusc.2022.153124
89,5Cu-OCN,O-doped g-C3N4 nanosheets,Cu,"I, II",N,PMS,10 mg/L (carbamazepine),0.05 min-1 (carbamazepine),1 g/L,0.5 mM,11,6,,,"1O2, O2-, SO4-","TEMP-1O2, O2-","substantial inhibition (l-histidine), slight inhibition (p-benzoquinone)",10.1016/j.apsusc.2023.158290
90,4.8Co-N-C-cnMoS2,molybdenum disulfide nanospheres with a crumpled surface (cnMoS2) with nitrogen/carbon coating,Co,II,N,PMS,20 mg/L (atrazine),0.358 min-1 (atrazine),0.2 g/L,2.0 g/L,7,3,,,"SO4-, OH, O2-, 1O2","DMPO-OH, DMPO-SO4, DMPO-O2, TEMP-1O2","strong inhibition (L-histidine), strong inhibition (ethanol), moderate inhibition (tert-butanol), moderate inhibition (p-BQ)",10.1016/j.apsusc.2024.160066
91,Cu1-CN,graphite-phase carbon nitride,Cu,I,N,H2O2,"40 mg/L (tetracycline), 50 mg/L (tetracycline), 60 mg/L (tetracycline)",,0.08 g,2 mL,6.3,5,,,OH,DMPO-OH,,10.1016/j.apsusc.2024.160943
92,NG-Urea-air,graphene oxide (GO) with urea,,,,peroxymonosulfate,20 ppm (phenol),0.094 min-1 (phenol),0.4 g/L,6.5 mM,6.5,3,,,"singlet oxygen, SO4-, OH",singlet oxygen signals (aN = 16.9 G),"slight inhibition (methanol), slight inhibition (ethanol), inhibition (sodium azide)",10.1016/j.carbon.2017.01.058
93,Co@MNC,nitrogen-doped carbon spheres,Co,II,N,PMS,20 ppm (BPA),1.8698 min-1 (BPA),30 mg/L,0.5 g/L,7,5,,,"1O2, O2•−, Co(IV)-oxo species","DMPOX, TMPO-1O2","slight inhibition (methanol), slight inhibition (TBA), significant inhibition (FFA), significant inhibition (p-BQ), 71.7% inhibition (DMSO)",10.1016/j.carbon.2023.118371
94,CoFe@N-GC,nitrogen doped graphitic carbon,,,,peroxymonosulfate,15 µM (norfloxacin),0.6032 min-1 (norfloxacin),0.05 g/L,0.2 mM,6,4,,,"SO4-, 1O2","DMPOX, TEMP","moderate inhibition (MeOH), slight inhibition (TBA), significant inhibition (phenol), significant inhibition (L-histidine)",10.1016/j.cej.2019.123725
95,FeSA-N-C-20,N-doped porous carbon,Fe,IV,N,PMS,20 mg/L (BPA),0.240 min-1 (BPA),0.15 g/L,0.4 g/L,6.5,3,,,"FeIV=O, 1O2","DMPOX, TEMP","slight inhibition (TBA), slight inhibition (MeOH), significant inhibition (FFA), strong inhibition (DMSO)",10.1016/j.cej.2020.124382
96,SAFe-75-N-C,N-doped carbon,Fe,II,N,PDS,0.1 mM (CAP),,100 mg/L,1.0 mM,7,5,,,1O2,"DMPOX, TEMP","slight inhibition (MeOH), 69.4% (TBA), 0.9% (phenol), 2.2% (L-histidine)",10.1016/j.cej.2020.127545
97,Cu-Fe2O3/EGF,etched graphite felt (EGF),,,,H2O2,20 mg/L (sulfamethoxazole),0.120 min-1 (sulfamethoxazole),,,6,10,,,"OH, O2-","DMPO-OH, DMPO-O2-","47.7% inhibition (isopropanol), 71.2% inhibition (p-benzoquinone)",10.1016/j.cej.2021.131695
98,SA-Co CNP,2D carbon nanoplate,Co,II,N,PMS,20 mg/L (APAP),0.51 min-1 (APAP),0.2 g/L,0.5 g/L,7,5,20 mg/L (acetaminophen),15 min,1O2,"DMPO-OH, TEMP-1O2","negligible impact (methanol), negligible impact (tert-butyl alcohol), severe inhibition (furfuryl alcohol)",10.1016/j.cej.2021.132027
99,BUC-21(Fe),,,,,H2O2,10 mg/L (chloroquine phosphate),0.1162 min-1 (chloroquine phosphate),0.3 g/L,2.94 mmol/L,5,5,,,"OH, O2-","DMPO-OH, DMPO-O2","significant inhibition (isopropyl alcohol), 24.9% inhibition (N2 gas at pH 7.0)",10.1016/j.cej.2021.132495
100,Fe/Cu-N-C,N-doped carbon,,II,N,PDS,20 mg/L (chloramphenicol),0.093 min-1 (chloramphenicol),0.1 g/L,5 mM,6.2,5,,,"SO4-, OH, 1O2","DMPO-SO4, DMPO-OH, TEMP-1O2","significant inhibition (MeOH), 60.8% (1000 mM TBA), 56.4% (150 mM p-BQ)",10.1016/j.cej.2021.132611
101,SAFe-MCN,graphitic carbon nitride (g-C3N4),Fe,"II, III",N,PMS,10 mg/L (sulfamethoxazole),0.602 min-1 (sulfamethoxazole),50 mg/L,0.5 mM,7,5,,,"OH, O2-, 1O2, FeIV=O","DMPO-OH, DMPO-SO4, DMPO-O2, TEMP-1O2","slight inhibition (tert-butanol), slight inhibition (methanol), significant inhibition (p-benzoquinone), significant inhibition (L-histidine), significant inhibition (EDTA-2Na)",10.1016/j.cej.2021.132937
102,EG-CuFe2O4-U,expanded graphite (EG) immobilized with CuFe2O4,,,,peroxydisulfate (PDS),50 ppm (tetracycline),,0.4 g/L,6 mM,4,,,,"SO4-, OH, 1O2","DMPO-OH, DMPO-SO4, TMPN","53.4% (ethanol), 65.1% (tert-butanol), significant inhibition (p-benzoquinone), 58.8% (4 mM L-histidine), 71.7% (20 mM L-histidine), 38% (4 mM EDTA-2Na)",10.1016/j.cej.2021.133516
103,SA-CoCN,graphitic carbon nitride,Co,II,N,PMS,10 mg/L (bisphenol A),0.169 min-1 (bisphenol A),0.3 g/L,0.5 mM,5,5,,,"Co(IV), 1O2","DMPO-OH, TEMPO","significant inhibition (DMSO), significant inhibition (EtOH), significant inhibition (FFA), significant inhibition (p-BQ)",10.1016/j.cej.2022.135002
104,LaCo0.95Mo0.05O3-δ,LaCoO3-δ perovskite,,,,PMS,10 mg/L (paracetamol),0.289 min-1 (paracetamol),0.2 g/L,0.5 mM,7,5,10 mg/L (paracetamol),,"SO4•-, •OH, 1O2","DMPOX, TEMPO","slight inhibition (TBA), moderate inhibition (FFA), significant inhibition (MeOH)",10.1016/j.cej.2022.137352
105,SACoN/BCN,boron-carbon-nitrogen matrix,Co,II,"N, O",PMS,10 mg/L (sulfamethazine),0.0668 min-1 (sulfamethazine),0.133 g/L,0.4 g/L,7,6,,,"OH, SO4-, 1O2","DMPO-OH, DMPO-SO4, TEMP-1O2","slight inhibition (tert-butanol), significant inhibition (methanol), significant inhibition (L-histidine)",10.1016/j.cej.2022.138098
106,Cu-SACs,cellulose,Cu,between +1 and +2,"N, O",peroxymonosulfate,10 mg/L (oxytetracycline),0.05 min-1 (oxytetracycline),0.2 g/L,0.05 mM,6.8,3,10 mg/L (oxytetracycline),60 minutes,"OH, 1O2, SO4-","DMPO-OH, DMPO-SO4, TEMP-1O2","49.21% (ethanol), 52.72% (tert-butanol), 54.47% (L-histidine)",10.1016/j.cej.2022.138194
107,,,,,,,,,,,,,,,,,,
108,CoSAC-NG,nitrogen-doped graphene,Co,II,N,PMS,"20 μM (BPA), 20 μM (Orange II)","4.42 × 10−2 min−1 (BPA), 3.89 × 10−2 min−1 (Orange II)",5 mg/L,1 mM,7,4,,,1O2,"DMPO-OH, DMPO-SO4, TEMPO","slight inhibition (TBA), slight inhibition (methanol), slight inhibition (PMSO), significant reduction (NaN3), significant reduction (furfuryl alcohol)",10.1016/j.cej.2022.141045
109,N-doped coralline Co9S8−xNx,carbon felt,,,,H2O2,0.1 mM (Amitriptyline),,,,3,,,,OH,DMPO-OH,"36.5% (tert-butyl alcohol), 15.5% (methanol), 4.8% (benzoquinone)",10.1016/j.cej.2022.141171
110,FeSA-NEPBC,Enteromorpha-derived carbon matrices,Fe,II,N,PDS,20 μM (BPS),0.05 min-1 (BPS),40 mg/L,0.4 mM,6.9,,25 μM (BPS),50 h,electron-transfer surface species,,"negligible inhibition (TBA, ethanol), slight inhibition (FFA), significant inhibition (acetone)",10.1016/j.cej.2023.141513
111,S-CoO/Ti,Ti plate,,,,PMS,25 μM (tetracycline),0.290 min-1 (tetracycline),,1 mM,7,5,25 μM (tetracycline),60 h,"OH, SO4-, O2-, 1O2, Co4+","DMPO-OH, DMPO-SO4, DMPO-O2-, TEMP-1O2","significant decrease (MeOH), slight decrease (TBA), slight decrease (BQ), significant decrease (FFA)",10.1016/j.cej.2023.141812
112,FeMnC,Fe/Mn co-doped biochar,,,,O3,50 mg/L (ibuprofen),0.316 min-1 (ibuprofen),0.5 g/L,4.93 mg/min,7,3,,,"OH, O2-","DMPO-OH, DMPO-O2-","56.33% (500 mM TBA), 66.14% (1000 mM TBA), 74.05% (1 mM BQ), 86.39% (2 mM BQ), significant inhibition (50 U CAT), significant inhibition (200 U CAT)",10.1016/j.cej.2023.142028
113,Mo2C/MoOx,carbon cloth,,,,PMS,50 mg/L (tetracycline),0.0417 min-1 (tetracycline),10 mg,0.5 g/L,5,10,,,"1O2, OH, SO4-, O2-","DMPO-OH, DMPO-SO4, DMPO-O2, TEMP-1O2","significant inhibition (methanol), significant inhibition (isopropanol), slight inhibition (TEMPO), significant inhibition (L-tryptophan)",10.1016/j.cej.2023.143774
114,2Co-MCAMeIm,2-methylimidazole (MeIm) ligand-modified carbon nitride,Co,"II, III",N,PMS,10 mg/L (sulfamethoxazole),0.13 min-1 (sulfamethoxazole),0.1 g/L,1.0 mM,6,4,,,"OH, SO4-, O2-, 1O2","DMPO-OH, DMPO-SO4, TEMP-1O2","78.7% (TBA), 54.6% (MeOH), 62.5% (BQ), significant inhibition (HD)",10.1016/j.cej.2023.144494
115,MnN@CNT,carbon nanotubes (CNTs),Mn,II/III,N,periodate (PI),25 μM (sulfadiazine),406.1 min−1⋅g−2⋅L2 (sulfadiazine),30 mg⋅L-1,200 μM,7.19,3,25 μM (sulfadiazine),24 hours,"IO3•, O2–•, OH, 1O2, MnIV/V=O","DMPO-OH, TEMP-1O2, DMPO-O2 –•","90% (phenol), significant inhibition (p-benzoquinone), negligible inhibition (ethanol, tert-butyl alcohol, furfuryl alcohol)",10.1016/j.cej.2023.144862
116,Fe-SA@CN,layered g-C3N4,Fe,III,N,PMS,20 mg/L (BPA),,0.15 g/L,1 mM,3月9日,3,,,1O2,TEMP-1O2,"95% (20 mmol/L TEMP), 40% (2 mmol/L NaN3), slight inhibition (DMSO), negligible effect (MeOH, TBA)",10.1016/j.cej.2023.145571
117,,,,,,,,,,,,,,,,,,
118,N-GA-2,Nitrogen-doped graphene aerogel,,,,PMS,15 mg/L (SMX),0.0231 min-1 (SMX),5.74 mg,3 mM,4,6,15 mg/L (SMX),900 min,"OH, SO4-, O2-, 1O2","DMPO–•OH, DMPO–O2 •−, TEMP–1O2","slight inhibition (ethanol), 93.11% (methanol), 91.68% (tert-butanol), 65.09% (p-benzoquinone), 34.83% (KI)",10.1016/j.cej.2023.146309
119,SAC-Co-2,N-doped carbon matrix,Co,IV,N,PMS,0.1 mM (4-chlorophenol),"0.09 g/L (4-chlorophenol), 0.06 g/L (bisphenol A), 0.15 g/L (sulfamethoxazole), 0.15 g/L (ciprofloxacin)",0.12 g/L,1.0 mM,6.5,,0.1 mM (4-chlorophenol),164 h,Co(IV)=O,DMPOX,"no significant inhibition (methanol), no significant inhibition (tert-butyl alcohol), significant inhibition (SCN−)",10.1016/j.cej.2023.146622
120,,,,,,,,,,,,,,,,,,
121,Mn-Co3O4-2,Mn-Co3O4,,,,PMS,10 mg/L (sulfamethoxazole),0.3148 min-1 (sulfamethoxazole),50 mg/L,0.5 mM,7,3,,,"OH, SO4-, O2-, 1O2, Co(IV)-O","DMPO-OH, DMPO-SO4, TEMP-1O2","significant inhibition (tert-butanol), significant inhibition (methanol), slight inhibition (chloroform), significant inhibition (NaClO4), significant inhibition (L-histidine)",10.1016/j.cej.2023.147886
122,Co/CuO-47.6 %,CuO and Cu0.72Co2.28O4,,,"Cu, Co, O",PMS,SMX,0.663 min-1 (SMX),0.2 g/L,0.3 g/L,5.7,5,medical wastewater (concentration not specified),6 minutes,"SO4-, OH, 1O2","DMPO-SO4, DMPO-OH","51.4% inhibition (methanol), significant inhibition (tert-butanol), slight inhibition (p-BQ), slight inhibition (FFA)",10.1016/j.cej.2023.148025
123,MnCoOx/Kaolin,Kaolin,,,,PMS,300 ppm (benzene),,1.4 g/L,3.5 mg/min,,5,300 ppm (benzene),10 hours,"SO4-, OH","DMPO-SO4, DMPO-HO","60.43% (TBA), complete inhibition (EtOH), 91.07% (2 mM FFA), 72.13% (5 mM FFA)",10.1016/j.cej.2023.148159
124,,,,,,,,,,,,,,,,,,
125,Cu SSCs,carbon nanospheres matrix,Cu,II,"N, O",PDS,20 mg/L (BPA),0.1938 min-1 (BPA),0.2 mg/mL,0.09 mM,6,4,,,"OH, SO4-, 1O2","DMPO-OH, DMPO-SO4, TEMP-1O2","50% (tert-butanol), 60% (ethanol), inhibition (L-histidine), inhibition (BQ)",10.1016/j.cej.2024.148587
126,FeN3/C,Nitrogen-doped carbon,Fe,II/III,N,PMS,20 mg/L (tetracycline hydrochloride),0.564 min-1 (tetracycline hydrochloride),0.2 g/L,0.2 g/L,7,4,Landfill leachate,,"OH, SO4-, O2-, 1O2","DMPO-OH, DMPO-SO4, TEMP-1O2, DMPO-O2","significant inhibition (methanol), moderate inhibition (tert-butanol), significant inhibition (furfuryl alcohol), slight inhibition (1,4-benzoquinone)",10.1016/j.cej.2024.148603
127,Co SAC,porous N-doped graphene,Co,II,N,PMS,1 mg/L (nitenpyram),0.143 min-1 (nitenpyram),0.05 g/L,0.5 mM,3.0 to 11.0,5,1 mg/L (nitenpyram),10 hours,"1O2, OH, SO4-","DMPO-OH, DMPO-SO4, TEMPO","significant inhibition (MeOH), significant inhibition (TBA), significant inhibition (FFA), slight inhibition (BQ)",10.1016/j.cej.2024.149269
128,Cr-N/BC-600,Cr and N co-doped biochar,,,,PDS,20 mg/L (tetracycline),0.049 min-1 (tetracycline),0.05 g/L,2 mM,7,5,,,"1O2, SO4-, OH","DMPO-OH, DMPO-SO4, DMPO-O2, TEMP-1O2","significant inhibition (Me-OH), slight inhibition (TBA), significant inhibition (KI), significant inhibition (L-histidine)",10.1016/j.cej.2024.149294
129,CoSA-TiO2,mesoporous TiO2,Co,III,"O, Ti",PMS,20 μM (SSZ),0.093 min-1 (SSZ),100 mg/L,1 mM,6,5,,,"1O2, SO4-, OH","DMPO-OH, DMPO-SO4, TEMP-1O2","slight inhibition (methanol), slight inhibition (tert-butanol), significant inhibition (furfuryl alcohol), significant inhibition (silver nitrate), 52.7% inhibition (β-carotene)",10.1016/j.cej.2024.149364
130,Co/CN (CCN3),carbon nitride (CN),Co,II,N,PMS,30 ppm (toluene),,0.1 g/L,1.6 mM,7,7,30 ppm (toluene),7 days,"1O2, SO4-, HO, O2-","DMPO-SO4•-, DMPO-HO•, DMPO-O2•-, TEMP-1O2","slight inhibition (TBA), slight inhibition (DMSO), 61% (ethanol), 33% (p-benzoquinone), 5% (furfuryl alcohol)",10.1016/j.cej.2024.149743
131,Fe-N2O1/OCN,oxygen-doped graphic carbon nitride (OCN),Fe,II,"N, O",PMS,2 μM (BPA),235.95 min−1 M−1 (BPA),0.1 g/L,0.2 mM,7,6,2 μM (BPA),20 days,"SO4-, BPA radicals",TEMP-1O2,"no inhibition (MeOH), no inhibition (TBA), no inhibition (SOD), no inhibition (NaOA), no inhibition (K2Cr2O7), slight enhancement (DMSO)",10.1016/j.cej.2024.149782
